X,Y,OBJECTID,EVT_RT,EVT_RIN,EVT_DATE,LOCATION,RUCR,RUCR_EXT_D
-63.580304701929776,44.643358087377926,1192,GO,881748,2017-09-25T00:00:00.000Z,SOUTH PARK ST,2142,THEFT FROM VEHICLE
-63.601187967595415,44.711076744809304,1193,GO,881585,2017-09-25T00:00:00.000Z,AKERLEY BLVD,2120,BREAK AND ENTER
-63.578855190268783,44.6373682479949,1194,GO,881909,2017-09-25T00:00:00.000Z,TOWER RD,2142,THEFT FROM VEHICLE
-63.580362500433466,44.685019815480587,1195,GO,881573,2017-09-25T00:00:00.000Z,LEAMAN DR,2135,THEFT OF VEHICLE
-63.672963800767697,44.711930186565212,1196,GO,881669,2017-09-25T00:00:00.000Z,BEDFORD HWY,1430,ASSAULT
-63.573320424563263,44.635073569577891,1197,GO,881624,2017-09-25T00:00:00.000Z,INGLIS ST,1430,ASSAULT
-63.529896279648895,44.672053851629983,1198,GO,881544,2017-09-25T00:00:00.000Z,POWER ST,2142,THEFT FROM VEHICLE
-63.584639813387447,44.652867439122346,1199,GO,881539,2017-09-25T00:00:00.000Z,GOTTINGEN ST,1460,ASSAULT
-63.584829837612752,44.631156906994647,1200,GO,881851,2017-09-25T00:00:00.000Z,GREENWOOD AVE,2142,THEFT FROM VEHICLE
-63.574374080119554,44.643721897942946,1201,GO,881740,2017-09-25T00:00:00.000Z,GRAFTON ST / SPRING GARDEN RD,1420,ASSAULT
-63.609659844292651,44.606169570064537,1202,GO,881680,2017-09-25T00:00:00.000Z,FOXWOOD TERR,1430,ASSAULT
-63.589668129597044,44.653420631155335,1203,GO,881674,2017-09-25T00:00:00.000Z,WEST ST,1430,ASSAULT
-63.605085444999503,44.657607565259916,1204,GO,881634,2017-09-25T00:00:00.000Z,YOUNG ST,1460,ASSAULT
-63.608347285288318,44.609180263743539,1205,GO,881626,2017-09-25T00:00:00.000Z,DRYSDALE RD,1420,ASSAULT
-63.605085444999503,44.657607565259916,1206,GO,881698,2017-09-25T00:00:00.000Z,YOUNG ST,1610,ROBBERY
-63.542808106587344,44.670396432931788,1207,GO,881531,2017-09-25T00:00:00.000Z,ROSE WAY,2142,THEFT FROM VEHICLE
-63.574374080119554,44.643721897942946,1208,GO,881732,2017-09-25T00:00:00.000Z,GRAFTON ST / SPRING GARDEN RD,1420,ASSAULT
-63.68806915552647,44.783420690952589,1209,GO,881924,2017-09-26T00:00:00.000Z,SMOKEY DR,2142,THEFT FROM VEHICLE
-63.676365531204127,44.647378741849828,1210,GO,881815,2017-09-26T00:00:00.000Z,OLAND CRES,2120,BREAK AND ENTER
-63.586321140697393,44.685693119460993,1211,GO,881789,2017-09-26T00:00:00.000Z,PINECREST DR,2120,BREAK AND ENTER
-63.586822650357576,44.631868094201799,1212,GO,881765,2017-09-26T00:00:00.000Z,BELLEVUE AVE,2142,THEFT FROM VEHICLE
-63.600482172954784,44.650207894679241,1213,GO,881849,2017-09-26T00:00:00.000Z,NORTH ST,2142,THEFT FROM VEHICLE
-63.575647805852483,44.642697223515462,1214,GO,881860,2017-09-26T00:00:00.000Z,SPRING GARDEN RD,1460,ASSAULT
-63.590002110643276,44.651685340059274,1215,GO,882181,2017-09-26T00:00:00.000Z,JUNE ST,2142,THEFT FROM VEHICLE
-63.768334865837645,44.745131654772052,1216,GO,882141,2017-09-26T00:00:00.000Z,GREENSIDE LANE,2142,THEFT FROM VEHICLE
-63.586412450852769,44.635113750763814,1217,GO,882004,2017-09-26T00:00:00.000Z,FRASER ST,2142,THEFT FROM VEHICLE
-63.620124872399579,44.654735716171857,1218,GO,881846,2017-09-26T00:00:00.000Z,FEDERAL AVE,1430,ASSAULT
-63.670297397985173,44.672255147938813,1219,GO,881991,2017-09-26T00:00:00.000Z,FARNHAM GATE RD,2120,BREAK AND ENTER
-63.544090219890094,44.704215237109288,1220,GO,881843,2017-09-26T00:00:00.000Z,COLUMBO DR,2120,BREAK AND ENTER
-63.533116571059189,44.519984341397929,1221,GO,882195,2017-09-27T00:00:00.000Z,SOUTH POINT RD,2120,BREAK AND ENTER
-63.585365145487202,44.653847519362039,1222,GO,882136,2017-09-27T00:00:00.000Z,MAITLAND ST / PRINCE WILLIAM ST,2142,THEFT FROM VEHICLE
-63.688043955986132,44.688856414090232,1223,GO,882107,2017-09-27T00:00:00.000Z,SASKATOON DR,1420,ASSAULT
-63.589684191474326,44.654208228762769,1224,GO,882087,2017-09-27T00:00:00.000Z,MAYNARD ST,1420,ASSAULT
-63.637384433023762,44.657462991817852,1225,GO,882086,2017-09-27T00:00:00.000Z,FLINT ST,2120,BREAK AND ENTER
-63.540783991148132,44.529819715715746,1226,GO,882074,2017-09-27T00:00:00.000Z,KETCH HARBOUR RD,2120,BREAK AND ENTER
-63.635298882700582,44.568339700356319,1227,GO,882155,2017-09-27T00:00:00.000Z,OLD SAMBRO RD,1430,ASSAULT
-63.587648431174074,44.68680687242319,1228,GO,882101,2017-09-27T00:00:00.000Z,JOSEPH YOUNG ST,1430,ASSAULT
-62.716830090116261,44.793848468013337,1229,GO,882039,2017-09-27T00:00:00.000Z,HIGHWAY 7,1420,ASSAULT
-63.636373742989186,44.660255000080312,1230,GO,882113,2017-09-27T00:00:00.000Z,EVANS AVE,2120,BREAK AND ENTER
-63.57813678417989,44.643336091790246,1231,GO,882075,2017-09-27T00:00:00.000Z,DRESDEN ROW,2120,BREAK AND ENTER
-63.607673533553857,44.655245674427348,1232,GO,882325,2017-09-27T00:00:00.000Z,YOUNG ST,2142,THEFT FROM VEHICLE
-63.575647805852483,44.642697223515462,1233,GO,882153,2017-09-27T00:00:00.000Z,SPRING GARDEN RD,1430,ASSAULT
-63.942975972812377,44.66175368868182,1234,GO,882055,2017-09-27T00:00:00.000Z,ISLAND VIEW DR,1430,ASSAULT
